seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58911,35.66,35.66,27.312,3.96,8.27,15.01,19.8,20.9,18.79,30.14,24.8,27.17,35.66
seed1,finished,10,58877,153.95,153.95,64.378,4.44,18.11,21.29,20.37,95.58,108.86,15.7,22.1,21.28,153.95
seed2,finished,10,58815,41.3,48.95,42.242,4.53,8.34,17.94,25.13,30.86,41.54,33.2,48.95,46.22,41.3
