seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58007,15.92,15.92,3.66,-14.59,-12.32,-12.61,-5.31,-6.27,-9.64,-0.58,2.49,10.11,15.92
seed1,finished,10,57777,18.85,18.87,15.22,-9.42,-15.78,-6.71,-12.16,-5.25,1.94,18.87,17.67,18.77,18.85
seed2,failed,10,58037,10.08,18.16,13.146,-14.97,-14.53,17.0,17.96,12.85,15.6,17.94,3.95,18.16,10.08
seed3,finished,10,58237,21.0,21.0,18.114,-14.35,-8.04,-0.2,17.2,19.19,19.89,20.47,8.21,21.0,21.0
seed4,failed,10,57721,4.1,4.1,0.23,-19.63,-12.9,-19.56,-14.98,-2.28,-2.19,-3.25,3.14,-0.65,4.1
seed5,finished,10,57939,20.51,20.51,16.016,-20.3,-17.9,-3.73,0.14,4.43,16.36,7.74,18.69,16.78,20.51
