seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58795,18.5,48.95,34.038,9.25,20.68,20.38,30.67,30.49,42.21,31.44,29.09,48.95,18.5
seed1,finished,10,58931,33.74,33.74,25.964,1.37,1.23,5.78,13.68,17.19,22.41,14.11,29.01,30.55,33.74
seed2,finished,10,58895,55.83,55.83,35.62,4.26,18.51,25.74,6.67,23.94,20.48,40.1,33.22,28.47,55.83
seed3,finished,10,58871,54.5,61.02,44.284,5.1,13.92,12.96,20.7,23.73,35.48,36.23,61.02,34.19,54.5
seed4,finished,10,58969,26.27,35.94,30.012,1.67,7.04,12.92,18.71,23.48,29.54,28.42,35.94,29.89,26.27
seed5,finished,10,58923,34.0,103.07,53.362,0.0,5.19,29.51,27.66,40.22,38.55,52.19,103.07,39.0,34.0
