seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58875,19.42,43.64,32.44,2.66,11.3,19.1,26.45,28.66,32.69,34.42,43.64,32.03,19.42
seed1,finished,10,58851,48.92,49.66,40.418,5.76,15.84,19.06,20.9,29.7,31.33,34.57,49.66,37.61,48.92
seed2,finished,10,58923,43.94,43.94,31.688,1.54,5.61,10.28,16.16,20.49,22.72,27.53,32.69,31.56,43.94
