seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58849,39.74,85.51,41.08,5.97,11.5,20.84,23.82,20.9,23.1,85.51,25.47,31.58,39.74
seed1,finished,10,58971,23.7,23.7,21.6,3.28,6.25,9.94,11.6,13.97,23.4,19.68,20.32,20.9,23.7
seed2,finished,10,58885,75.08,111.72,54.296,10.82,10.03,23.63,23.57,18.18,31.49,23.95,111.72,29.24,75.08
