seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58933,56.91,83.33,46.284,5.35,7.01,25.0,24.84,30.08,33.67,83.33,29.05,28.46,56.91
seed1,finished,10,58985,19.93,21.72,19.058,0.0,2.16,4.55,4.49,9.25,14.13,18.32,21.19,21.72,19.93
seed2,finished,10,58963,25.98,28.95,23.898,2.57,4.6,5.97,13.0,20.24,21.76,20.03,22.77,28.95,25.98
