seed,state,n_evals,last_step,last_score,max_score,mean_last5,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
seed0,finished,10,58863,39.2,39.2,33.186,5.94,12.35,11.12,18.99,23.81,29.25,29.7,31.1,36.68,39.2
seed1,finished,10,58931,31.24,31.24,26.33,5.36,8.29,12.72,15.42,19.36,19.86,22.71,26.86,30.98,31.24
seed2,finished,10,58949,28.67,28.67,18.204,2.25,4.53,9.26,15.2,21.74,22.49,16.55,0.0,23.31,28.67
